"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 21 04:22:10 UTC 2023","Fri Jul 21 04:22:17 UTC 2023","7110","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Fri Jul 21 04:40:12 UTC 2023","Fri Jul 21 04:40:21 UTC 2023","9064","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Fri Jul 21 05:33:24 UTC 2023","Fri Jul 21 05:33:39 UTC 2023","15105","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Fri Jul 21 04:40:21 UTC 2023","Fri Jul 21 04:40:24 UTC 2023","3396","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Jul 21 04:41:33 UTC 2023","Fri Jul 21 04:41:36 UTC 2023","3589","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Jul 21 05:19:59 UTC 2023","Fri Jul 21 05:20:03 UTC 2023","4379","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Fri Jul 21 04:27:11 UTC 2023","Fri Jul 21 04:27:29 UTC 2023","17909","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jul 21 04:27:59 UTC 2023","Fri Jul 21 04:28:07 UTC 2023","8481","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Jul 21 05:47:23 UTC 2023","Fri Jul 21 05:48:17 UTC 2023","53515","","21. Forgot password function","","","","2. Reset password",""
"passed","Fri Jul 21 05:16:57 UTC 2023","Fri Jul 21 05:17:48 UTC 2023","50453","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Fri Jul 21 04:34:34 UTC 2023","Fri Jul 21 04:35:38 UTC 2023","63473","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Fri Jul 21 04:58:21 UTC 2023","Fri Jul 21 04:59:01 UTC 2023","40202","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Fri Jul 21 04:24:37 UTC 2023","Fri Jul 21 04:24:41 UTC 2023","4005","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Fri Jul 21 05:20:10 UTC 2023","Fri Jul 21 05:20:14 UTC 2023","3421","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Jul 21 05:02:50 UTC 2023","Fri Jul 21 05:02:52 UTC 2023","2505","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Jul 21 05:12:21 UTC 2023","Fri Jul 21 05:12:36 UTC 2023","14939","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Fri Jul 21 04:47:12 UTC 2023","Fri Jul 21 04:47:55 UTC 2023","42590","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Fri Jul 21 05:20:17 UTC 2023","Fri Jul 21 05:20:21 UTC 2023","4208","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Fri Jul 21 04:44:13 UTC 2023","Fri Jul 21 04:44:17 UTC 2023","3717","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Fri Jul 21 04:17:05 UTC 2023","Fri Jul 21 04:17:12 UTC 2023","7197","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Fri Jul 21 04:32:53 UTC 2023","Fri Jul 21 04:33:02 UTC 2023","8267","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Jul 21 05:06:09 UTC 2023","Fri Jul 21 05:06:11 UTC 2023","2099","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Fri Jul 21 06:35:21 UTC 2023","Fri Jul 21 06:35:22 UTC 2023","1193","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Jul 21 05:44:45 UTC 2023","Fri Jul 21 05:44:54 UTC 2023","8771","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Fri Jul 21 05:44:54 UTC 2023","Fri Jul 21 05:44:56 UTC 2023","1452","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Fri Jul 21 05:41:31 UTC 2023","Fri Jul 21 05:41:49 UTC 2023","18477","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Jul 21 04:11:15 UTC 2023","Fri Jul 21 04:11:15 UTC 2023","59","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Fri Jul 21 04:24:50 UTC 2023","Fri Jul 21 04:24:51 UTC 2023","794","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Fri Jul 21 05:41:59 UTC 2023","Fri Jul 21 05:42:12 UTC 2023","12404","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Fri Jul 21 04:50:15 UTC 2023","Fri Jul 21 04:50:39 UTC 2023","23726","","9. Client Portal - Home","","","","1. Check links",""
"passed","Fri Jul 21 05:44:21 UTC 2023","Fri Jul 21 05:44:39 UTC 2023","18189","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Fri Jul 21 04:44:50 UTC 2023","Fri Jul 21 04:44:53 UTC 2023","2983","","6. Company Account","","","","6. Review Review Page",""
"passed","Fri Jul 21 04:35:38 UTC 2023","Fri Jul 21 04:35:40 UTC 2023","1529","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Fri Jul 21 04:57:49 UTC 2023","Fri Jul 21 04:58:09 UTC 2023","19815","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Jul 21 06:35:22 UTC 2023","Fri Jul 21 06:35:30 UTC 2023","7634","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Jul 21 04:35:48 UTC 2023","Fri Jul 21 04:36:48 UTC 2023","59920","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Jul 21 04:21:49 UTC 2023","Fri Jul 21 04:22:10 UTC 2023","20524","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jul 21 04:41:10 UTC 2023","Fri Jul 21 04:41:32 UTC 2023","22162","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Fri Jul 21 04:27:40 UTC 2023","Fri Jul 21 04:27:58 UTC 2023","18755","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Jul 21 04:44:53 UTC 2023","Fri Jul 21 04:45:04 UTC 2023","11060","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Jul 21 04:34:31 UTC 2023","Fri Jul 21 04:34:34 UTC 2023","3243","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Jul 21 04:27:29 UTC 2023","Fri Jul 21 04:27:36 UTC 2023","6349","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Fri Jul 21 04:32:29 UTC 2023","Fri Jul 21 04:32:53 UTC 2023","23959","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Jul 21 04:45:07 UTC 2023","Fri Jul 21 04:45:08 UTC 2023","437","","6. Company Account","","","","9. Review Final Review",""
"passed","Fri Jul 21 05:44:56 UTC 2023","Fri Jul 21 05:44:57 UTC 2023","722","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Jul 21 04:59:04 UTC 2023","Fri Jul 21 04:59:06 UTC 2023","1318","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri Jul 21 05:20:21 UTC 2023","Fri Jul 21 05:20:41 UTC 2023","20046","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Fri Jul 21 04:59:17 UTC 2023","Fri Jul 21 04:59:18 UTC 2023","918","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Fri Jul 21 04:35:40 UTC 2023","Fri Jul 21 04:35:44 UTC 2023","4385","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Fri Jul 21 04:10:40 UTC 2023","Fri Jul 21 04:11:14 UTC 2023","34704","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Fri Jul 21 04:59:06 UTC 2023","Fri Jul 21 04:59:17 UTC 2023","11495","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Jul 21 04:22:17 UTC 2023","Fri Jul 21 04:22:21 UTC 2023","3416","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Jul 21 04:22:39 UTC 2023","Fri Jul 21 04:22:47 UTC 2023","8653","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Jul 21 04:13:00 UTC 2023","Fri Jul 21 04:13:26 UTC 2023","25798","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
